model,ctx,dead2,dead2_lo,dead2_hi,band,band_lo,band_hi,portfolio_gain,n_runs,D2,ladder,tau,entropy,n95_frac,log2_ctx,lg
llama31-8b,8192,18.84765625,14.59716796875,22.890625,54.4921875,49.2138671875,59.8681640625,2.0448763179,1,18.84765625,3.0066593597045355,2.078629942057738,2.2791499358268243,0.02240238252812707,13.0,0.7153373074212626
llama31-8b,16384,23.73046875,19.52880859375,27.69287109375,46.58203125,41.494140625,51.8603515625,1.881044833,1,23.73046875,3.2221277772283825,2.226982771901217,2.447767532471002,0.018387225019878082,14.0,0.631827384697266
llama31-8b,32768,27.001953125,22.802734375,31.25732421875,33.984375,29.6875,38.2861328125,1.6805385795,1,27.001953125,3.5013937310934957,2.4119422218211177,2.5299427870569042,0.009348582794629537,15.0,0.5191143250751203
llama31-8b,65536,29.833984375,25.52734375,33.203125,26.07421875,22.3583984375,30.37109375,1.5176884032,1,29.833984375,3.9113444598947584,2.7025090553502356,2.6506534848814995,0.006259119246584427,16.0,0.41718838991889234
llama31-8b,98304,40.625,35.44189453125,44.72900390625,23.4375,19.5263671875,28.0517578125,1.4530062529,2,40.625,4.050548250295844,2.7988647488109053,3.1276139054803993,0.007810254482743372,16.584962500721158,0.37363468802004235
llama31-8b,131072,53.662109375,47.6025390625,59.1796875,20.21484375,15.8056640625,25.68359375,1.4055173344,1,53.662109375,4.264298304255912,2.9497733172975993,3.561600148979411,0.01027113303760209,17.0,0.34040544455057975
llama33-70b,8192,5.546875,3.005859375,8.0810546875,87.3828125,84.0595703125,90.1171875,3.1652269522,1,5.546875,2.2252280546675856,1.5212498495374058,1.3363514994019081,0.005294506949040371,13.0,1.1522247598815658
llama33-70b,32768,9.62890625,7.0458984375,13.18994140625,70.0,66.7177734375,73.7353515625,2.5567885161,1,9.62890625,2.832039120178274,1.9392566322335052,1.37149067027433,0.0025029007127465607,15.0,0.9387519850669032
llama33-70b,98304,28.828125,24.2734375,33.76171875,39.3359375,35.4716796875,42.40625,1.8042814669,2,28.828125,3.486039741216135,2.401882598554341,2.8248698752049277,0.019672330499574384,16.584962500721158,0.5901624332504756
llama33-70b,131072,41.38671875,34.333984375,47.5556640625,21.328125,17.693359375,25.396484375,1.4017395058,1,41.38671875,4.805735674988597,3.3151310985307862,4.953056956228839,0.040300982546328926,17.0,0.33771396949460175
mistral-7b,8192,10.400390625,8.30078125,12.60986328125,66.2109375,61.2255859375,70.5126953125,2.3055376823,1,10.400390625,2.9033210157146945,1.9990758133032855,3.0029455262103424,0.06276469031233457,13.0,0.8353139170550172
mistral-7b,32768,20.263671875,16.50146484375,24.033203125,55.46875,51.162109375,60.56640625,2.0543030332,1,20.263671875,3.2233499718629623,2.2116396438117554,3.453522549041382,0.05304813366041239,15.0,0.7199366338279191
qwen15-moe-a2.7b,8192,25.78125,21.2239583333,29.6940104167,41.40625,36.4583333333,47.1354166667,1.7886501387,1,25.78125,3.518740854612404,2.4167004545450577,3.0858336280243943,0.03316123907863383,13.0,0.5814612229087315
qwen15-moe-a2.7b,32768,36.8489583333,31.3736979167,44.140625,30.2083333333,25.2473958333,34.6354166667,1.5712762298,1,36.8489583333,4.486413349033407,3.097540610630362,3.8921367430315,0.02150742607081289,15.0,0.45188817437089146
qwen3-30b-a3b-2507,4096,58.88671875,49.51171875,67.6546223958,14.84375,10.927734375,18.9453125,1.4096460167,1,58.88671875,3.0396459710237314,2.107620543962395,2.1739408478141167,0.014923402007395668,12.0,0.34333862088543615
qwen3-30b-a3b-2507,8192,62.0442708333,55.0830078125,70.9244791667,14.1276041667,10.7389322917,17.7864583333,1.3772541276,3,62.0442708333,3.1410970965402765,2.1679938515362505,2.16451423750169,0.010193275086047128,13.0,0.32009175435294696
qwen3-30b-a3b-2507,32768,67.7408854167,59.7591145833,75.087890625,8.0729166667,6.1848958333,10.1595052083,1.277224012,1,67.7408854167,3.4427076785336377,2.385689391417661,2.525220478659024,0.008818459090306326,15.0,0.24468898218285887
qwen3-30b-a3b-2507,131072,73.4700520833,66.0693359375,79.82421875,7.4869791667,5.0065104167,10.29296875,1.2122521083,1,73.4700520833,4.1041263617382455,2.832087823928908,2.7149184617435336,0.005963732546184207,17.0,0.1924798761645262
qwen3-30b-a3b-2507,196608,76.6276041667,70.1725260417,82.294921875,6.0546875,4.296875,8.076171875,1.1858896281,2,76.6276041667,4.411617469848018,3.053803922697587,2.690563629644457,0.004881230755623366,17.584962500721158,0.17049323393468155
qwen3-30b-a3b-2507,262144,77.2135416667,71.2223307292,83.6588541667,5.9895833333,4.1015625,7.6888020833,1.1885093131,2,77.2135416667,4.897093188340747,3.390986735441862,3.0642477643631922,0.007124051577594428,18.0,0.1726998437991897
qwen3-8b,8192,50.4774305556,41.5342881944,58.4440104167,16.4930555556,13.1944444444,19.5355902778,1.4212758077,1,50.4774305556,3.7898786389353214,2.602301053500942,2.893822481600054,0.020816785808842997,13.0,0.35155492436981295
qwen3-8b,16384,54.3402777778,46.2934027778,62.6345486111,12.1527777778,9.8090277778,14.5920138889,1.3167606301,1,54.3402777778,4.087238584514214,2.8235167423638616,3.0234715355668733,0.012971307401762638,14.0,0.275174652331498
qwen3-8b,24576,57.4652777778,48.8194444444,66.0980902778,10.8506944444,7.8993055556,13.3810763889,1.2978556955,1,57.4652777778,4.2629621290961035,2.9262961121054683,3.3210129330483316,0.012396968156807284,14.584962500721156,0.26071343760232596
qwen3-8b,32768,59.8090277778,51.9466145833,68.0164930556,11.4583333333,9.0234375,13.8020833333,1.2834638546,1,59.8090277778,4.469621084607622,3.0798082119715007,3.446658681422608,0.010699840869911152,15.0,0.249562559343109
qwen3-8b,40960,62.4131944444,54.7222222222,70.0542534722,12.2395833333,9.8914930556,14.5920138889,1.281005072,1,62.4131944444,4.8926817930454325,3.3480357203929954,3.879587573016819,0.013991671308453357,15.321928094887362,0.2476449823134722
