model,ctx,heads,retrieved,prompts,band_or,band_pr,dead2,tau,price,evict_frac,band_pp,band_sym,lag_med,lag_p90,lag_inband,lag_outband,rho_lag_gain,router_over,evict_frac_pp,runs,v_or,v_pr,v_pp
mistral-7b,8192,1024.0,6.0,6.0,53.7109375,76.66015625,10.400390625,1.9990758133032855,1.466875727898564,0.4505500360782505,66.2109375,64.6484375,1.2702260623662456,2.015298686006141,1.371148805865794,1.0280970391680846,0.8075938327015234,10.44921875,0.4361517981629214,1,GO,GO,GO
llama33-70b,8192,5120.0,4.0,4.0,83.59375,92.8125,5.546875,1.5212498495374058,1.3086171712130785,0.3974197658670626,87.3828125,86.71875,1.2762609558448132,1.793860589724337,1.294414585689161,1.0363352141480422,0.49785973391713073,5.4296875,0.38776624082296707,1,GO,GO,GO
qwen15-moe-a2.7b,8192,384.0,6.0,6.0,30.989583333333332,55.46875,25.78125,2.4167004545450577,1.3927118161047898,0.4884550741486484,41.40625,39.0625,1.174248063162553,2.125624508381948,1.4545974686471483,1.0136382925967597,0.9027207453121292,14.0625,0.4751796941518872,1,NARROW,GO,GO
llama31-8b,8192,1024.0,6.0,6.0,43.359375,67.48046875,18.84765625,2.078629942057738,1.47254957159319,0.46549228694403916,54.4921875,52.34375,1.2599903102383427,1.8577371406804928,1.3987170952092147,1.0324754078196547,0.8847749736249193,12.98828125,0.45276141956124355,1,GO,GO,GO
qwen3-8b,8192,1152.0,6.0,6.0,11.71875,40.45138888888889,50.47743055555556,2.602301053500942,1.4005621726966209,0.5084179407821597,16.493055555555554,14.496527777777779,1.121174171344863,1.9701599083074712,1.5279205897779102,1.0247679282112894,0.9574596963586599,23.958333333333336,0.4943346545678235,1,STOP,GO,NARROW
qwen3-30b-a3b-2507,8192,1536.0,4.0,4.0,10.3515625,34.83072916666667,62.044270833333336,2.166649530748413,1.2917992013620256,0.5085596891805507,14.127604166666666,12.955729166666666,1.1144552410242292,1.7381186475003851,1.475168201579355,1.0433599601587291,0.9217967622478325,20.703125,0.49938482340156676,1,STOP,NARROW,STOP
mistral-7b,32768,1024.0,6.0,6.0,45.8984375,66.015625,20.263671875,2.2116396438117554,1.4148312732679271,0.4765182084710945,55.46875,53.90625,1.207007197624453,1.912531566252944,1.371611418875678,1.022490237574377,0.8587495306129747,10.546875,0.4658390240668302,1,GO,GO,GO
llama33-70b,32768,5120.0,4.0,4.0,60.8984375,75.41015625,9.62890625,1.9392566322335052,1.2519406519769087,0.45116988710369665,70.0,69.4140625,1.1130341014705276,1.51542390924276,1.1654088181354885,1.0183123400272458,0.6908438660287901,5.41015625,0.4417957892294241,1,GO,GO,GO
qwen15-moe-a2.7b,32768,384.0,6.0,6.0,22.395833333333336,36.97916666666667,36.84895833333333,3.097540610630362,1.184368476500923,0.5246326850077969,30.208333333333332,29.166666666666668,1.0407275811608727,1.7670540495509388,1.4641096660368755,1.0016339883476966,0.9021364568851514,7.03125,0.512587779471779,1,NARROW,GO,NARROW
llama31-8b,32768,1024.0,6.0,6.0,25.48828125,45.1171875,27.001953125,2.4119422218211177,1.3059325163728444,0.49191288236876035,33.984375,32.2265625,1.0646519462978157,1.5522298414788154,1.3021445764437682,1.0089704186650887,0.8992070712037764,11.23046875,0.4825041485604513,1,NARROW,GO,NARROW
qwen3-8b,32768,1152.0,6.0,6.0,6.510416666666667,26.73611111111111,59.80902777777778,3.0798082119715007,1.1172241836205608,0.5298536834180188,11.458333333333332,9.635416666666668,1.0241662029234044,1.7809044193119905,1.6398693234159807,1.0041955001769445,0.9707624584025003,15.277777777777779,0.5180839528653743,1,STOP,NARROW,STOP
qwen3-30b-a3b-2507,32768,1536.0,4.0,4.0,6.901041666666667,25.260416666666668,67.74088541666666,2.385689391417661,1.1841468619344047,0.522196367902535,8.072916666666668,7.486979166666667,1.0582624890026375,1.648730605347914,1.529625421059665,1.0252969489518855,0.9360933893917464,17.1875,0.5139271078194318,1,STOP,NARROW,STOP
qwen3-8b,40960,1152.0,6.0,6.0,5.902777777777778,26.5625,62.41319444444444,3.3480357203929954,1.1196911802292817,0.5381382107203332,12.239583333333332,10.069444444444445,1.020151793326292,1.7721497076757826,1.5973789105026404,1.0023243000462614,0.9545589701151054,14.322916666666666,0.5252331258071985,1,STOP,NARROW,STOP
llama33-70b,131072,5120.0,4.0,4.0,18.76953125,25.1953125,41.38671875,3.3151310985307862,1.0299155565841875,0.544005348679654,21.328125,21.07421875,1.0045403876497274,1.1832624023169134,1.1324095372673928,1.0011900688053035,0.8821225717102554,3.8867187499999996,0.5421047377327748,1,NARROW,NARROW,NARROW
llama31-8b,131072,1024.0,6.0,6.0,13.4765625,29.19921875,53.662109375,2.9497733172975993,1.1382743622593465,0.5250922432734961,20.21484375,19.3359375,1.020055105647117,1.430560163249735,1.299319800165113,1.0047713030261656,0.9271404160110148,8.984375,0.5172775580227186,1,STOP,NARROW,NARROW
qwen3-30b-a3b-2507,131072,1536.0,4.0,4.0,4.6875,19.3359375,73.47005208333334,2.832087823928908,1.0599056319410676,0.5379186479214645,7.486979166666667,6.705729166666667,1.0130628617827189,1.4738796877198377,1.4785796917392935,1.0037897426218365,0.9505366672035501,11.848958333333332,0.5313266505971904,1,STOP,NARROW,STOP
