model,ctx,k,treatment,heads,corner_over_oracle,lag_med,lag_inband,band_pp
llama31-8b,8192,1,floor,1024,1.3325686938006944,1.197342532434867,1.406846098447404,45.5078125
llama31-8b,8192,2,floor,1024,1.5445751257943632,1.429219673633308,1.680558734819429,29.4921875
llama31-8b,8192,4,floor,1024,1.8177921101569172,1.6613317296155383,1.9597734590537557,20.60546875
llama31-8b,8192,8,floor,1024,2.288105806746606,2.242865224510808,2.6153652498866324,10.3515625
llama31-8b,32768,1,floor,1024,1.2487367715495654,1.0639650192850925,1.3674797095443494,27.5390625
llama31-8b,32768,2,floor,1024,1.4211430416395436,1.1550101210944508,1.6269624829547085,16.11328125
llama31-8b,32768,4,floor,1024,1.559872966036955,1.2344789643262428,1.79503058891095,13.96484375
llama31-8b,32768,8,floor,1024,1.8586756516954206,1.4014322932963363,2.1836041765084846,8.984375
qwen3-30b-a3b-2507,8192,1,floor,1536,1.166189243963194,1.0520083160121274,1.5611058854783308,5.598958333333334
qwen3-30b-a3b-2507,8192,2,floor,1536,1.3300633069417245,1.1270533577767703,1.9917502732707886,1.6276041666666667
qwen3-30b-a3b-2507,8192,4,floor,1536,1.5240562092897385,1.2359136328341727,2.357413544682273,0.9765625
qwen3-30b-a3b-2507,8192,8,floor,1536,1.5602352292966448,1.2586952263316598,2.3927991486267293,1.1067708333333335
