TOTAL heads measured (sum over 20 points): 33,920

C4 ladder = tau/ln2:  worst err 1.4%  median 0.4%
value term (ladder vs a-only): max |diff| 0.035 b
alpha@2b: 0.940-0.944   spearman@2b: 0.52-0.77
lin_ratio@3b: 0.80-1.35
dead-1-bit tier: 95-100%

per-point detail:
             model    ctx  n_heads  band  routed  tau  lad  lad_pred  lad_err     n95  dead2   gu3  ge3
        llama31-8b   4096     1024 46.29    1.93 1.94 2.81      2.81     0.03   97.25  14.36 23.49 1.85
        llama31-8b   8192     1024 39.26    1.78 2.07 3.00      2.99     0.23  136.75  18.90 25.67 1.68
        llama31-8b  16384     1024 33.01    1.65 2.22 3.21      3.20     0.34  228.75  23.44 27.31 1.41
        llama31-8b  32768     1024 25.68    1.50 2.41 3.49      3.48     0.34  273.00  26.22 29.61 1.20
        llama31-8b  65536     1024 17.48    1.33 2.67 3.84      3.85     0.15  347.25  30.27 32.39 1.07
        llama31-8b 131072     1024 12.50    1.25 2.96 4.27      4.27     0.05 1161.25  53.86 33.40 1.03
       llama33-70b   8192     5120 79.08    3.06 1.51 2.21      2.17     1.43   32.00   5.83 21.35 3.27
       llama33-70b  32768     5120 58.46    2.29 1.91 2.78      2.75     1.22   53.00   9.25 30.37 2.36
       llama33-70b 131072     5120 18.01    1.34 3.34 4.84      4.82     0.39 4808.00  41.49 36.92 1.04
        mistral-7b   8192     1024 51.27    2.07 1.98 2.87      2.85     0.62  387.25   9.28 23.23 2.11
        mistral-7b  32768     1024 41.50    1.82 2.21 3.22      3.18     1.09 1390.00  20.12 25.36 1.76
  qwen15-moe-a2.7b   8192      384 29.43    1.59 2.39 3.47      3.45     0.69  173.00  24.35 26.25 1.28
  qwen15-moe-a2.7b  32768      384 20.05    1.39 3.06 4.43      4.41     0.34  600.75  37.11 30.38 1.05
qwen3-30b-a3b-2507   8192     1536 10.29    1.25 2.21 3.21      3.19     0.42   79.00  60.61 26.22 1.06
qwen3-30b-a3b-2507  16384     1536  7.81    1.21 2.33 3.38      3.36     0.78  160.00  63.38 26.96 1.04
qwen3-30b-a3b-2507  32768     1536  6.18    1.17 2.40 3.48      3.47     0.39  231.75  65.85 27.37 1.03
qwen3-30b-a3b-2507 131072     1536  4.10    1.11 2.90 4.20      4.19     0.36  626.50  73.40 29.19 1.00
          qwen3-8b   8192     1152  9.11    1.22 2.55 3.68      3.68     0.14  111.75  47.87 26.71 1.05
          qwen3-8b  32768     1152  6.08    1.13 3.03 4.40      4.37     0.70  284.00  57.47 29.27 1.01
          qwen3-8b  40960     1152  5.56    1.13 3.21 4.65      4.63     0.47  413.00  59.77 29.86 1.00
