model,ctx,layer,head,L,tau,tau_nosink,ladder_bits,ladder_bits_a_only,w_cv,top1,n95,eff_frac,entropy,c1_abs,c1_rel,alpha1,resid1_abs,evict_beats_b1,spearman_top_b1,c2_abs,c2_rel,alpha2,resid2_abs,evict_beats_b2,spearman_top_b2,c3_abs,c3_rel,alpha3,resid3_abs,evict_beats_b3,spearman_top_b3,c4_abs,c4_rel,alpha4,resid4_abs,evict_beats_b4,spearman_top_b4,c5_abs,c5_rel,alpha5,resid5_abs,evict_beats_b5,spearman_top_b5,c6_abs,c6_rel,alpha6,resid6_abs,evict_beats_b6,spearman_top_b6,c8_abs,c8_rel,alpha8,resid8_abs,evict_beats_b8,spearman_top_b8,err_wf1,err_uniform1,err_evict1,gain_u1,gain_e1,gain_best1,in_band1,evict_frac1,mean_bits1,lin_ratio1,err_wf2,err_uniform2,err_evict2,gain_u2,gain_e2,gain_best2,in_band2,evict_frac2,mean_bits2,lin_ratio2,err_wf3,err_uniform3,err_evict3,gain_u3,gain_e3,gain_best3,in_band3,evict_frac3,mean_bits3,lin_ratio3,err_wf4,err_uniform4,err_evict4,gain_u4,gain_e4,gain_best4,in_band4,evict_frac4,mean_bits4,lin_ratio4,prompt,step,synthetic,quantized,norm_correct,corpus_offset,corpus_spliced,needle_tok,needle_start,needle_end,needle_mass,needle_hit
llama31-8b,131072,0,0,120604.5,3.5798638100806124,3.5788650104258743,5.090611282563604,5.164651765861169,0.2949509077935658,0.1562859598451387,6572.5,0.05449337180066231,5.1244129915376915,4.8804720475361085,0.34113648103938143,0.7808005584556648,4.297904923853764,1.0,0.29790883731551776,1.42594822930174,0.1006402929827864,0.9341319202717906,1.3841616630709965,1.0,0.5154264670008204,0.4075800011560522,0.028833643991961345,0.9809803213572399,0.402690796981222,0.0,0.7263245766033817,0.11168753213199617,0.007817085523180384,0.995092716471753,0.1114500761776217,0.0,0.8861012911153014,0.029163575704648968,0.0020462296634430133,0.9987504437454402,0.029148470620991754,0.0,0.9592851899355286,0.007473984486590221,0.0005248120996788354,0.9996496239066393,0.00747234302791175,0.0,0.987419621175702,0.00048011056320305695,3.3866573196687574e-05,0.9999838338176543,0.0004801083129839952,0.0,0.9990404732389968,0.015121973841671688,0.8183069091888941,0.017598081792200786,60.16690000450293,1.2004286687189771,1.2004286687189771,0.0,0.8338902397821959,1.0000082916677053,1.634928474120485,0.012842722887418213,0.59324107366227,0.0134737545753086,64.73797167277374,1.0299775708130685,1.0299775708130685,0.0,0.6917033568677105,2.0,0.8315033627043544,0.01261974689914936,0.3059578110999356,0.012702286733628606,28.140389505701243,1.0025109382370727,1.0025109382370727,0.0,0.5602878628340229,3.000008290980243,1.0490103789916685,0.012575408512691956,0.2129797148348761,0.01259491765985442,18.69747444753938,1.0002352769393923,1.0002352769393923,0.0,0.4338439215886267,4.0,0.8121748012085339,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,2.152832404753878e-06,0.0
llama31-8b,131072,0,1,120604.5,3.344752419893488,3.343662366480333,4.722083329465336,4.825457729181695,0.3127725763054897,0.14417173915870268,8528.0,0.07070762670854036,5.887683438014351,3.657637598446387,0.32604001839475255,0.7925465480846035,3.184238213705653,1.0,0.3509400711534443,1.075745053647755,0.0957294652693633,0.9347633739147145,1.0315537676111566,1.0,0.5592297513351127,0.30720815163192083,0.02742587890547388,0.9809795605754456,0.3025994034110481,0.0,0.7684297848507174,0.08335122340859363,0.007455649802525574,0.9951410107402505,0.08307101772061612,0.0,0.9040856353462177,0.02179464218292365,0.001946345139893614,0.9987735025772968,0.021776771174630914,0.0,0.9650857498185298,0.005583289911485866,0.0004984029923836882,0.99963717782353,0.00558180985647105,0.0,0.9896055856741621,0.0003588606673140263,3.1995873592649135e-05,0.9999803254617494,0.0003588580560025806,0.0,0.9992189668120196,0.01640243871834801,0.8334260723919236,0.026189418008367434,56.431041982300115,1.729316712488736,1.729316712488736,0.0,0.8235462392517475,1.0000082907052903,1.78291801344634,0.009605842295516545,0.5371850373373579,0.012389897177516554,51.255964996476735,1.1918507502840652,1.1918507502840652,0.0,0.6760144756602442,2.0000082912552224,1.069377892741123,0.006892435300589271,0.2401160201565044,0.00902725165420099,32.702069238502844,1.031185317442843,1.031185317442843,0.0,0.5446842380174608,3.000008290980243,0.895440575985657,0.006659910010775502,0.11632059737355183,0.007092934897442884,16.396459967132216,1.007127400306258,1.007127400306258,0.0,0.41884373989536783,4.000008291289593,0.9336012340611746,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,5.375875243889734e-06,0.0
llama31-8b,131072,0,2,120604.5,4.011972364530287,4.010922853606701,5.6999268696970145,5.788052634491414,0.26395961272849044,0.42199350310869177,2736.0,0.022686331049853993,3.4199254656474225,4.958654568745684,0.3264709330748953,0.7733373157966239,4.191268334495495,1.0,0.2888975625367646,1.4833276594073728,0.09737913537509013,0.9296151255052807,1.4100547060730242,1.0,0.4902532577602049,0.43301700944245813,0.028284793800645292,0.9784838632873831,0.42638215872161767,0.0,0.7167039511374125,0.11755943862773087,0.007682308893135091,0.9944717995160409,0.11702995884651947,0.0,0.8776352581724547,0.03078990797563186,0.0019902206300667206,0.9986154671086147,0.03075999301077479,0.0,0.9577955037403438,0.007831092044803933,0.0005098267972875807,0.999592819582702,0.007828456203584543,0.0,0.9869815610426698,0.0005044088605146697,3.260587951715349e-05,0.9999764347490822,0.0005043713355754836,0.0,0.9989647529705823,0.0077874084486706735,0.9532847901915471,0.01098986386263582,109.67065339916638,1.2729735902564436,1.2729735902564436,0.0,0.8368048357807978,1.0000082909802428,0.91119171446598,0.006752597904208459,0.702669788178325,0.006755847115994392,96.30292395026684,1.014728632026992,1.014728632026992,0.0,0.6959434798459917,2.000008290877135,0.5662495823959324,0.006526372863077732,0.4463859156781047,0.006809296810437187,60.45529314413915,0.9998533673107315,0.9998533673107315,0.0,0.5643097932578212,3.0,0.4896734368354241,0.00640459936232045,0.13771055802408813,0.006449596820190404,21.959035057546572,0.9998580062070732,0.9998580062070732,0.0,0.4351844554438471,4.000008290980243,0.6963680675233264,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,2.3214049896822873e-06,0.0
llama31-8b,131072,0,3,120604.5,2.500112100174398,2.4992464344307894,3.3339132070423836,3.6068993285880966,0.3303431759587884,0.03664655777883875,19864.5,0.16472897447132617,8.059374611186717,1.7253309091680746,0.3417246785429354,0.8060345239307745,1.5378811005928688,1.0,0.4292802626490494,0.5152689135743613,0.1015226981895948,0.9420229554906447,0.496697977502379,0.0,0.6471181745838569,0.14847308354568162,0.029051912039705106,0.9829555446699617,0.14660380096652392,0.0,0.826979048428623,0.0397043070295124,0.007833030743716824,0.9954196961620293,0.0395645105136519,0.0,0.9345330288769275,0.010349786756020763,0.002047959617245512,0.9988684097283498,0.010341509974289485,0.0,0.9791809003397015,0.00266735535182258,0.0005212293853935355,0.9996510882465504,0.002666826085897003,0.0,0.9935726208976622,0.00017045215504138834,3.365133631006004e-05,0.9999818664651956,0.00017044694242480642,0.0,0.9995242491448137,0.03371171760141566,0.39000919722417865,0.07868904040111191,10.194768481404303,2.3738185186108076,2.3738185186108076,1.0,0.7808304961956938,1.0,5.930898537526179,0.01377847041388559,0.1219023599705039,0.03357468519178119,8.118370702638858,2.5033819224063034,2.5033819224063034,1.0,0.6076396092059722,2.0000082912552224,6.224951928724354,0.0059427815023737115,0.042677664896826076,0.018363075526366606,7.986825506848081,3.132048840450845,2.9602572739104316,1.0,0.45108240509178854,3.0000000000000004,3.6625089045550854,0.0025042673334932973,0.020390946657327103,0.010062496955566429,7.271441744358533,4.02140835562493,3.090557318739906,1.0,0.3062876708921628,4.000008290877135,2.1002930596326346,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,2.1184331953294387e-05,0.0
llama31-8b,131072,0,4,120604.5,2.4648936118530704,2.4642180664588964,3.438963759689238,3.5560897901393105,0.6827134171098344,0.043231870848343595,30983.0,0.2568847685261176,8.555600012946389,1.2544080786735345,0.19905918575107437,0.772161266098873,0.9293175305493604,1.0,0.4963347156040333,0.3367279385118144,0.05371231741697688,0.9264195144371636,0.30299553911799565,0.0,0.6827631225111828,0.09173031349679941,0.014582902705549792,0.9786931998272229,0.08864790604872111,0.0,0.8540220718284426,0.024563106635136688,0.003895792116988237,0.9945048302761609,0.024353993555348164,0.0,0.9446855489142532,0.006405197546375977,0.0010061856032359906,0.9986556883887825,0.0063944764933263395,0.0,0.9828789971850502,0.0016486876826297217,0.0002609911410248706,0.9996526989610208,0.0016477516581958449,0.0,0.9950647981186793,0.00010568764665261704,1.681618392393974e-05,0.999982572305922,0.00010568682203168894,0.0,0.9996208762007515,0.07321447256058602,1.1459883352007443,0.15625580005817719,13.556475332809619,2.371388279693713,2.3666012213373238,1.0,0.7583871196230035,1.0000082907052903,4.219524855012066,0.015723636992788892,0.3759385522081614,0.06211840654097138,25.57432805856913,4.162928629992415,4.146893727397398,1.0,0.5877636983106673,2.0000041454901214,2.075160877682248,0.006454611791345885,0.1570092754151809,0.02187001713022109,21.49764529391885,3.289316725903181,3.289316725903181,1.0,0.45381904006013896,3.000008291014613,1.3480121271407355,0.004100292148753311,0.06272331179659241,0.008563576554737681,15.583961756248268,1.9635188649577562,1.9635188649577562,0.0,0.3237774740526357,4.000008290739658,0.9794446096851348,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,2.003772617906865e-05,0.0
llama31-8b,131072,0,5,120604.5,2.142194213774235,2.1414977690915795,3.1145372328923235,3.090532968833121,0.6679706053360321,0.030178944814745323,41326.0,0.34266714206349863,9.488760494277553,1.08350164588264,0.2437869037745597,0.7878072187186462,0.8615958264369523,1.0,0.4084389999504577,0.29969078808088145,0.06878465848999402,0.9331144894942018,0.2781640046995768,0.0,0.6258627133459824,0.08300503851925618,0.019093689642703866,0.9799652509631525,0.08093793230342043,0.0,0.8035378460805599,0.022189709295872436,0.005122616267886286,0.9947658644544436,0.022073200477643443,0.0,0.9219172383607588,0.005806480489908689,0.0013428826464122142,0.9987246033160242,0.005800943633591899,0.0,0.9743538441617077,0.001495596299275009,0.00034723154777599626,0.9996656654618785,0.00149499810988803,0.0,0.9924425027404897,9.622153666081689e-05,2.222114614879839e-05,0.9999810954026244,9.621950082231791e-05,0.0,0.9994390872529739,0.13328578063385024,0.5011916610692603,0.24312363787651947,3.899748861644195,1.826017357799031,1.7602121403031181,0.0,0.7435798574588063,1.0000082907052903,8.321048962232386,0.03530985111919499,0.1686773991143231,0.12842349898402766,4.653798783308235,3.5126402533436076,3.4507797823731696,1.0,0.5609173289344294,2.0000082907052903,8.289556767123768,0.012434866006301334,0.06164923236081918,0.05709573597881723,4.866713927704257,4.587543500888913,4.295766922200297,1.0,0.42111634108379825,3.000004145352645,5.481180831177824,0.006479838121600342,0.02285750776054421,0.022424530605679643,3.5386054908615816,3.7310464026906676,3.0619996682521657,1.0,0.29398198061620306,4.000004145352645,4.231975994479065,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,3.0725607188909234e-05,0.0
llama31-8b,131072,0,6,120604.5,2.511344360650507,2.510604132522573,3.4237954518672815,3.6231040550749505,0.6760397664722557,0.03762352871685312,30683.5,0.25441411879839076,8.740127471197141,1.492838889611615,0.22749284558093513,0.7723298824389135,1.1515675896627688,1.0,0.3995350511331489,0.4083407358810912,0.06257788450140611,0.9284474637767874,0.3751895961962172,0.0,0.615730260137187,0.1128943873182067,0.017185342325717515,0.9796796520048601,0.11015193403377664,0.0,0.8055697544208881,0.02999657206838414,0.004599915657844478,0.9947545941967184,0.02980562881934458,0.0,0.9249532451669056,0.00783623612317089,0.0012069918252730974,0.9986803536170747,0.007825080716251067,0.0,0.9743966947415442,0.0020182159305633805,0.0003108783117274379,0.9996450320995789,0.002017332176119772,0.0,0.9928896223691315,0.000130035325889619,1.9865697548087373e-05,0.9999819927990711,0.00013003333747713754,0.0,0.999423807302581,0.04930005081882136,0.9158077439628756,0.11686790776517875,15.29425622058675,2.1143756752783425,2.096029673417528,1.0,0.7722895662767124,1.0000082909802428,4.250275592727034,0.019252350393800167,0.34865490363038043,0.039359889892839076,16.54443142832156,3.039188333616405,2.9240382639959313,1.0,0.6049250946450339,2.0,3.0181308518897767,0.011127850777309512,0.12612630137580474,0.02264703472123861,13.25092031036922,2.365849128396299,2.1208740937080366,0.5,0.4684405588076597,3.000008290980243,2.2049426471715874,0.005467031991168082,0.08060821358435749,0.014199919377172032,10.917130013241913,1.4244744519300503,1.2029065365001577,0.0,0.3376319813509626,4.00000829070529,1.387070687238563,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,2.4319054890236957e-05,0.0
llama31-8b,131072,0,7,120604.5,2.6789880275703064,2.6781908055741828,3.7037143101427548,3.864962741976586,0.6741430912066941,0.06381515650240718,22528.0,0.1868023456968684,7.786629981373847,1.8817099026350066,0.2509403601286859,0.7548640985998741,1.4415865079580943,1.0,0.4317415151898251,0.5245980221966826,0.06731773695957341,0.9189897957615177,0.4742121098522679,0.0,0.6292605254537387,0.14430864667275534,0.018185085628889402,0.976302756943179,0.13957264328307434,0.0,0.8207620792386341,0.03879467281326818,0.0048770456618509265,0.9940100159938152,0.038469614944663444,0.0,0.9264364648728036,0.010056490499372475,0.0012720258084384485,0.9985283690583244,0.010037768835042614,0.0,0.9758562894103602,0.0025899070725590207,0.0003279612550684592,0.9996198474597259,0.002588464350926127,0.0,0.9930029556022395,0.00016617304015136122,2.095148226109e-05,0.9999771351959195,0.00016617013617718519,0.0,0.9994668482545229,0.028343156970511953,0.8174662960559047,0.06155146899038341,25.272292989619316,2.057665979505914,2.057665979505914,1.0,0.7942017351827226,1.0000041453526451,3.8463051923844187,0.013285868249509489,0.3930804972654147,0.021868398426693428,38.19766315717589,1.8826018969458262,1.8826018969458262,0.0,0.6332169090985675,2.0,1.4758868196724508,0.008078969000536108,0.18041838570459093,0.013631848543974682,28.093906905942248,1.1688070043667074,1.1688070043667074,0.0,0.4955592732085318,3.0000082908427665,1.0505051782123063,0.006509955784585141,0.07298321579498629,0.008906797752340694,9.717728186760233,1.0452294638443633,1.0350591705876377,0.0,0.36373775820749477,4.0,1.5639237237801826,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,1.6695576577269228e-05,0.0
llama31-8b,131072,0,8,120604.5,2.516848302047631,2.5163457051591145,3.5565643592315994,3.6310445640339255,0.47399646019313424,0.007804496234452869,31120.0,0.2580580953648992,9.348468438327192,1.143117350238374,0.18040959497737424,0.7831098743978838,0.8357566826687391,1.0,0.4465398945266327,0.29710219434943386,0.047187207874938436,0.931044157470803,0.26632738955365237,0.0,0.6838042780706026,0.07982767470916563,0.012762090597117665,0.98075872598234,0.07748553757437329,0.0,0.8560952743493238,0.021352178876418493,0.0034347437654817644,0.9950345659154491,0.02119519876888795,0.0,0.9482948651726624,0.005600672274319469,0.0008964904814286647,0.9987454357894572,0.005590502109575568,0.0,0.9826230653892768,0.0014373476074069644,0.0002301632904842553,0.9996846716236989,0.0014367462395888445,0.0,0.9949427593115564,9.208066463422126e-05,1.4777186926301448e-05,0.9999753191329916,9.207777719770541e-05,0.0,0.9996078037252544,0.047548063691824405,0.30263627408191524,0.12062536502134008,6.591781015732866,2.660213341125098,2.660213341125098,1.0,0.7478275296666785,1.0000082907396584,5.49677197493352,0.011820567176887122,0.12648690091638135,0.05118209879058841,10.678402477200043,4.421011337379747,4.398105186322752,1.0,0.5746090584817378,2.0,3.9951937212765207,0.004272527055065258,0.044113715620755015,0.019522830273772135,10.503099927125202,4.383004388347425,4.383004388347425,1.0,0.4385389634616501,3.000004145352645,2.7534496983177426,0.0019592820258428276,0.022309012831533317,0.007784048893171818,12.797139641945655,3.657311160289674,3.657311160289674,1.0,0.3169973385953422,4.000008290980243,1.1886092311799221,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,1.7723397031379097e-05,0.0
llama31-8b,131072,0,9,120604.5,2.675738908116519,2.6750085413166333,4.022520497096715,3.860275253453352,0.4130675002072149,0.02800733954991658,21688.0,0.17982516932934647,8.420662978876383,1.8306110887369629,0.22941725731274643,0.7811858033339925,1.4555853795841656,1.0,0.4255748977639532,0.4915180927913872,0.06294170175331176,0.9323641789640893,0.46454855216020896,0.0,0.6717722207253993,0.135246474877514,0.017287435327323908,0.9817940632319189,0.1333506639753863,0.0,0.8474084409137573,0.03664543423529526,0.0046255136104847525,0.9950681363089782,0.03650918642727988,0.0,0.9425662838499861,0.009555023844979221,0.0012160213015252272,0.9988123857012634,0.00954743647469866,0.0,0.9811852739930622,0.002478259665000304,0.0003122019799609206,0.9996532456185574,0.0024775399313919314,0.0,0.9948437381105419,0.00015787134265286875,2.0049674986126885e-05,0.9999742087938805,0.00015786745589749772,0.0,0.999592226808355,0.025321873944406666,0.34107305248081987,0.04916340369800447,15.415491131519344,1.9453257839054146,1.9453257839054146,0.0,0.793066558083267,1.0,6.732334887608541,0.0089436807317285,0.12473113656953955,0.020276635214694104,19.231219584402226,2.4360894947629417,2.4360894947629417,1.0,0.620898260020956,2.0,2.9099611179862537,0.004517795399806079,0.0907017383116331,0.009877151907431813,18.805087527442232,1.7418641806119468,1.7418641806119468,0.0,0.4790046117106491,3.0,1.6013301938237112,0.003710187595500389,0.07910369882904121,0.0053953183597825315,14.702711816396524,1.2318517760592074,1.2318517760592074,0.0,0.3591517764603458,4.0,1.0351829637852514,2.5,3.5,0.0,0.0,1.0,692205.5,0.0,-1.0,-1.0,-1.0,1.0372323107043115e-05,0.0
