model,ctx,layer,head,L,tau,tau_nosink,ladder_bits,ladder_bits_a_only,w_cv,top1,n95,eff_frac,entropy,c1_abs,c1_rel,alpha1,resid1_abs,evict_beats_b1,spearman_top_b1,c2_abs,c2_rel,alpha2,resid2_abs,evict_beats_b2,spearman_top_b2,c3_abs,c3_rel,alpha3,resid3_abs,evict_beats_b3,spearman_top_b3,c4_abs,c4_rel,alpha4,resid4_abs,evict_beats_b4,spearman_top_b4,c5_abs,c5_rel,alpha5,resid5_abs,evict_beats_b5,spearman_top_b5,c6_abs,c6_rel,alpha6,resid6_abs,evict_beats_b6,spearman_top_b6,c8_abs,c8_rel,alpha8,resid8_abs,evict_beats_b8,spearman_top_b8,err_wf1,err_uniform1,err_evict1,gain_u1,gain_e1,gain_best1,in_band1,evict_frac1,mean_bits1,lin_ratio1,err_wf2,err_uniform2,err_evict2,gain_u2,gain_e2,gain_best2,in_band2,evict_frac2,mean_bits2,lin_ratio2,err_wf3,err_uniform3,err_evict3,gain_u3,gain_e3,gain_best3,in_band3,evict_frac3,mean_bits3,lin_ratio3,err_wf4,err_uniform4,err_evict4,gain_u4,gain_e4,gain_best4,in_band4,evict_frac4,mean_bits4,lin_ratio4,prompt,step,synthetic,quantized,norm_correct
llama33-70b,131072,0,0,120604.5,0.6107198569920191,0.6103353846858879,0.9176766502654585,0.8810825090548029,0.2056662294857165,0.0006113685683653076,101633.0,0.8427572825427929,11.548860036825918,0.06052095824508043,0.2003473933772657,0.8080109501982454,0.047963057523839656,0.0,0.21949175548766653,0.01645082203984549,0.05537711255530955,0.9376770622516173,0.01513802916076243,0.0,0.3975360340934782,0.004579954500674741,0.01547711221557907,0.9798923227801112,0.004442314959118306,0.0,0.6254255418367658,0.0012262465627338453,0.004166332569737751,0.9942276737106103,0.0012160972445392302,0.0,0.8231894257480128,0.0003202175557980079,0.0010904008548498424,0.9986082904592346,0.00031951698361819226,0.0,0.9354500397796843,8.252844239659994e-05,0.00028047585425595094,0.9996057662484473,8.247845117191755e-05,0.0,0.9801406206718637,5.259420472080947e-06,1.7961572158068604e-05,0.999975510331728,5.258977991340965e-06,0.0,0.9984228977989452,0.033127633833514525,0.03755670527502368,0.6664171660013382,1.1337460220932982,22.042887920100785,1.1337460220932982,0.0,0.09946360873853416,1.0,1.0073309532540233,0.019897746481732335,0.013246940908549621,0.464778165830383,0.7326230275068684,25.694281956849757,0.7326230275068684,0.0,0.0018614485303262718,2.0,2.1119854136026306,0.010363968828898774,0.004064789785975896,0.2889107812408069,0.3928884955021579,29.350454596189664,0.3928884955021579,0.0,0.0,3.000004145352645,3.589962132763958,0.0032185660938708737,0.0011014817762564266,0.13719938769148074,0.32794915045660095,44.471227126846216,0.32794915045660095,0.0,0.0,4.0,3.967920622379829,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,1,120604.5,0.5352628520302558,0.5351612655057769,0.8028067872360908,0.7722210621961331,0.1967099688298889,0.00011943722020325604,104558.0,0.8669798175647558,11.575906548505035,0.049089367687733844,0.17140596576493328,0.7834681010470526,0.03545912386984179,0.0,0.3623061301590724,0.01252797508926624,0.04372677296195347,0.9324169057459704,0.011229370588364793,0.0,0.6233339549793562,0.003460793835470034,0.012083038271780743,0.9791979190297826,0.0033391709585046947,0.0,0.8214488618925471,0.0009297724883394467,0.00324192514343633,0.9942245026204688,0.0009204538213971749,0.0,0.9284329575835272,0.00024284357538037647,0.0008468467508624439,0.9985784001690736,0.00024224869502522737,0.0,0.9771338173080748,6.209530751130293e-05,0.00021647217306259328,0.9996050451006497,6.205501412213848e-05,0.0,0.9933291568937346,3.966284725751777e-06,1.3838224362784348e-05,0.9999741704539106,3.966164319958598e-06,0.0,0.9995243506963014,0.031462837682722684,0.026071552457530053,0.8079175535662428,0.8405394209417831,25.637556035328387,0.8405394209417831,0.0,0.06876250475065869,1.0000041453526451,1.2454284355079617,0.01956841346694754,0.01002400821646808,0.5904141371322154,0.5153671640483464,30.5516401854377,0.5153671640483464,0.0,0.0,2.000008290877135,2.419196153680276,0.008928043906350224,0.0028551790619347883,0.3352042070294186,0.3371842330376127,37.735084123727034,0.3371842330376127,0.0,0.0,3.0,3.6506751837508715,0.0025831109600954914,0.0007618916563459266,0.1606786609092375,0.29699986323255634,62.239594165385526,0.29699986323255634,0.0,0.0,4.0,4.277861790246853,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,2,120604.5,0.693669397390122,0.6935385837792576,0.9971931901076548,1.0007533996311646,0.2025855990279153,9.512029084193986e-05,99813.0,0.8275614772000488,11.495358363986359,0.09347990556371145,0.19671467543247806,0.8069079060816216,0.0762816892588202,0.0,0.43232930624107313,0.024856222043635225,0.051743132504649014,0.9484937935641052,0.023585731257428175,0.0,0.6984290099007006,0.006889646918898537,0.014302135770672991,0.9858049056183619,0.006785647113421475,0.0,0.8695216878852634,0.0018663714197096736,0.0038810052300644383,0.9960911787828874,0.001858658755048973,0.0,0.9539424235226868,0.0004896349703649157,0.001016382794365759,0.9989546987950286,0.0004890064286497717,0.0,0.9854431502539015,0.00012643102845455814,0.00026228736943061017,0.9997273582051127,0.00012639523977542918,0.0,0.9957735481458521,8.063656568395911e-06,1.6724984246761212e-05,0.9999833105869116,8.063462474609912e-06,0.0,0.9996888364456444,0.04271272310307296,0.04856862014779116,0.6108358838942706,1.1676852484367215,14.128629303429015,1.1676852484367215,0.0,0.19607133916962954,1.0,1.0601332170501117,0.022137604821998384,0.015665771960380714,0.3814171243248702,0.7120977739368899,17.70827877130496,0.7120977739368899,0.0,0.013457491404274446,2.0,1.9867427420157593,0.01326486487969556,0.0049178787955152774,0.22335752582426027,0.36138543319845584,16.237840729872623,0.36138543319845584,0.0,0.0009576876887260766,3.0000000000000004,3.8999548541225213,0.004775752319912045,0.0014122920911019256,0.1296023165848555,0.2932081246270729,27.13437893642122,0.2932081246270729,0.0,1.6583541789779883e-05,4.000004145352645,4.740983515822689,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,3,120604.5,0.5645552246676787,0.5644385864306429,0.8548750892594954,0.8144810229360147,0.1920065784115253,0.00011933907588713757,103402.5,0.8573471738257232,11.565182596504586,0.056258380627372775,0.17637982789753287,0.7939751703461445,0.043019424639306164,0.0,0.355782675928473,0.014394063434578629,0.04516729497518164,0.938349532730391,0.01317935253414235,0.0,0.6192720269023788,0.00395241448230476,0.012411728071160685,0.9812256710566551,0.003848127164521162,0.0,0.8258516210676738,0.0010671619085856272,0.003347306395185169,0.9947328466799041,0.001058192615858838,0.0,0.9351769960354748,0.00027830267966304125,0.0008743456114251715,0.9987249201374442,0.0002777880322607669,0.0,0.979781415521888,7.18008868582972e-05,0.00022535268162054512,0.9996414475647772,7.175693876908778e-05,0.0,0.9943040096249101,4.5943593948768835e-06,1.4417476300528628e-05,0.9999809952920111,4.594327309119354e-06,0.0,0.9995637156258743,0.04066326065612419,0.024746388214189265,0.7745956103207425,0.6603650814987083,18.99238820186781,0.6603650814987083,0.0,0.10427323965285015,1.0,1.6363526767841923,0.021316043531187406,0.008250968425340507,0.6323514331843787,0.4005782429990177,31.510301630223267,0.4005782429990177,0.0,0.0001824166895189187,2.000004145352645,3.114215131465915,0.009641052921716664,0.002498164832331745,0.43459336246197766,0.2471454715954274,41.68292973509439,0.2471454715954274,0.0,0.0,3.0000082912552224,5.323437135026877,0.0028397335921893675,0.0007009911368742402,0.21819859576014494,0.23787918179653536,74.68561315636927,0.23787918179653536,0.0,0.0,4.0,5.480867399229162,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,4,120604.5,0.5367727676808847,0.5366397891840398,0.8037653644916865,0.774399410017456,0.1976850110370113,0.0002033642147264814,104214.5,0.8641482366264456,11.581114036399075,0.04770056271505981,0.16806034639614462,0.7851610305983379,0.034281997997494186,0.0,0.37304318795493674,0.012019655282529747,0.042373719711930005,0.9317139766367719,0.010677489609359278,0.0,0.6310109001306998,0.003244641703364989,0.011480055960679917,0.9795004787332326,0.003122717496921345,0.0,0.8327387802553545,0.000865927961361393,0.0030555043275802413,0.9943472584481001,0.0008572727115390825,0.0,0.9434694908587924,0.00022657177523411693,0.0007969621983061909,0.9986577843646506,0.00022603896258741366,0.0,0.9823284680804827,5.808677578929463e-05,0.000203589001776543,0.9996439872071903,5.8049417865343794e-05,0.0,0.9950242051729684,3.717077022434398e-06,1.3094744291650266e-05,0.9999765049031838,3.7169560723259358e-06,0.0,0.9996114030157921,0.028525614899514683,0.02590132598826774,0.8550632108174063,0.939190205198331,29.863913103778003,0.939190205198331,0.0,0.06334109280426017,1.0,1.110689740304697,0.017739990834484604,0.00845178073468968,0.6570848487257448,0.48410841113251296,37.12342578302548,0.48410841113251296,0.0,0.0,2.0,2.5312262736396507,0.008366385449107148,0.002385050972955567,0.4197575857680693,0.30421151947700614,49.93260415489479,0.30421151947700614,0.0,0.0,3.000008290877135,3.9868951655940745,0.0024483615916323816,0.0006946902845128837,0.19079804740421896,0.28051019104523284,78.37386887104077,0.28051019104523284,0.0,0.0,4.0,4.4034144569781155,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,5,120604.5,0.5614908105050391,0.5614268809556613,0.8303101891053706,0.8100600078203445,0.19860647625697048,4.394513473912711e-05,102942.5,0.8535602498300334,11.576428069721178,0.04457932668924462,0.14119272213986134,0.787664693828332,0.030871005373479712,0.0,0.38277355722769846,0.010895152685837923,0.034442898119564816,0.9379924696685679,0.009700479214143581,0.0,0.6479191105593721,0.002906824031019292,0.009191945196492168,0.981510064714602,0.0028091779890106476,0.0,0.8445471660906805,0.0007763993632983772,0.002453867322867961,0.9949503920746308,0.0007691726990090524,0.0,0.9440225847918723,0.00020263581857738472,0.0006396155009783028,0.9987179953517672,0.00020209149195151316,0.0,0.982105188065455,5.207297999154649e-05,0.0001645806394572217,0.9996501903697994,5.203638523018927e-05,0.0,0.9950261481065796,3.3259485059419145e-06,1.0482472367098672e-05,0.9999786630181897,3.3258291280509704e-06,0.0,0.999631838494065,0.033820381040390694,0.029038465899347884,0.7676988992799592,0.8320024605379239,22.983455801820025,0.8320024605379239,0.0,0.0729245304665988,1.0,1.2679967330739959,0.013896319160459929,0.009397413630234285,0.5856241386601075,0.648421403494984,41.04735829853091,0.648421403494984,0.0,0.00021555926548869032,2.000008290980243,1.890825801700947,0.008047246995017365,0.0025828573700111797,0.3913746798823392,0.3046789869820547,46.340642903836155,0.3046789869820547,0.0,0.0,3.000008290911505,4.1428119203418285,0.002572657924077062,0.0006801216485028219,0.21243469611809157,0.26851116929560737,82.44594767017381,0.26851116929560737,0.0,0.0,4.0,4.70354450903065,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,6,120604.5,0.5306511246719633,0.5305271175667781,0.7703092469329781,0.7655677460063923,0.19661873090198478,9.591139827706684e-05,104203.5,0.8640918797079713,11.572644802040028,0.04126342343756788,0.14889607302925062,0.7871201693182879,0.028556244658203188,0.0,0.40348201068384304,0.009799416642620285,0.03541567435930254,0.9403298094030672,0.008808398051273932,0.0,0.6682612746975125,0.00260698333383048,0.009387454787197413,0.9835184290742505,0.002532763672133529,0.0,0.8615999439148952,0.0006923151568931428,0.002502654758876041,0.9955384144733284,0.0006866615511048513,0.0,0.950769034844479,0.0001812171818735494,0.0006524627302409033,0.9989112836793008,0.00018086786102151345,0.0,0.984845477939473,4.660013459035005e-05,0.00016828928603837312,0.9996905128407607,4.657478579524066e-05,0.0,0.9958868198071205,2.988447051436208e-06,1.0768932556292407e-05,0.999979590804402,2.9883907474149124e-06,0.0,0.9996962045424728,0.037910554904723365,0.05032341788097165,0.9656819085514755,1.3027925848866193,25.43490073557828,1.3027925848866193,0.0,0.05028120448269009,1.0,0.7936283668283604,0.02798690084377424,0.016165657259774938,0.6750915522800737,0.5878032835209341,24.546431877444434,0.5878032835209341,0.0,9.950083829313945e-05,2.000004145352645,2.0339937381958952,0.01346322748848823,0.004874728091482795,0.468241154622236,0.3556170928034141,34.537599056709766,0.3556170928034141,0.0,0.0,3.000008291014613,3.453468034927296,0.0039483781257714365,0.0012554354461216458,0.29984510993664226,0.31181207456227666,73.85588480683234,0.31181207456227666,0.0,0.0,4.000008290980243,3.9321545272640757,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,7,120604.5,0.477717726312179,0.4775458120763939,0.7165468275769526,0.6892009946953317,0.19133222428598456,0.00018816365108710598,105733.0,0.8767334553678233,11.588478912587863,0.03606541321006593,0.1596948392318378,0.7996565023940743,0.026977029287460663,0.0,0.4252646293536871,0.008929625933394855,0.03957336567146761,0.9419306656014519,0.00820763240063713,0.0,0.6983369153867676,0.002419797539156795,0.010764767281979903,0.9830714611055762,0.002360363328641677,0.0,0.8778884210167934,0.0006473544421349918,0.0028951767244531227,0.995350394244914,0.0006421694905417118,0.0,0.9583863915835263,0.00016870534843931237,0.0007543794081435673,0.9988325785672907,0.00016840782710131336,0.0,0.9875226779090804,4.357879310935558e-05,0.00019435856731499733,0.9997020942290586,4.355668132252459e-05,0.0,0.9965320511032699,2.796493979704333e-06,1.2447574397175548e-05,0.9999829353392742,2.79645622772015e-06,0.0,0.9997424359765743,0.032863231172537824,0.04386131038168338,0.978190320551843,1.3045716253776105,29.386569661673512,1.3045716253776105,0.0,0.03453622983970453,1.0,0.7844763333733851,0.03686426255180598,0.013044202487700992,0.7394028977963667,0.36700077825546706,20.156490376576883,0.36700077825546706,0.0,0.0,2.0,3.196675276904993,0.013933028155125501,0.003817813379294918,0.57007852377882,0.2797489868645468,41.14364720405507,0.2797489868645468,0.0,0.0,3.0,4.2486068898712315,0.004066545394982239,0.001015831265035679,0.39692528910833913,0.2664672044863453,98.53352727330426,0.2664672044863453,0.0,0.0,4.000008290877135,4.530696902578681,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,8,120604.5,0.4262873697526842,0.426238475473293,0.8448399242326277,0.6150026743357975,0.35835608304029354,2.540201486770239e-05,106319.5,0.8815883848081717,11.624767766968603,0.033363661452308846,0.1841029153230099,0.7890154447815991,0.025507426109182496,0.0,0.3982240271602109,0.008904183630444686,0.048942470369907246,0.9354150280934149,0.008214774762988222,0.0,0.6392312939886933,0.0024542688781715874,0.013519152316127825,0.9818519162902597,0.002396492564571343,0.0,0.8312966514650926,0.000659608597747652,0.0036502363695156232,0.9954961554077775,0.0006563101619757095,0.0,0.9395614587713403,0.0001724401987789185,0.0009602705033171148,0.9989581415130302,0.00017224340250485894,0.0,0.9806219703341061,4.458789336556785e-05,0.0002479563975407874,0.9996916763620398,4.457519595487724e-05,0.0,0.99487436668018,2.8457772570632064e-06,1.5868888609893304e-05,0.9999810575977152,2.8457530650838607e-06,0.0,0.9996228707198138,0.21111919940120052,0.20260981063579434,0.7908682338837554,0.9444464104706883,4.067676412738355,0.9444464104706883,0.0,0.05709903536980282,1.0,1.1054541106689577,0.07189337832227174,0.043903996326794176,0.951619445950155,0.5974171325052153,12.87675300250292,0.5974171325052153,0.0,0.00019901982735029977,2.0000082907396584,2.0998821777438827,0.019096844652736464,0.00910438013034236,0.5589880319827811,0.43184814849052566,27.606323454934007,0.43184814849052566,0.0,0.0,3.0,2.954658528111076,0.005288695311631468,0.0018632403995868757,0.30551884007523356,0.33414060931543443,56.694592412539265,0.33414060931543443,0.0,0.0,4.0,3.8288116736058515,1.5,3.5,1.0,0.0,1.0
llama33-70b,131072,0,9,120604.5,0.35230014752200245,0.3522443429884907,0.7671730959906291,0.5082616757344433,0.3565133066171441,2.905437766875562e-05,108207.0,0.897205638632391,11.64611510086767,0.020900666844150068,0.18238428143608804,0.7731796405219693,0.01489480025390826,0.0,0.4580781829234705,0.005844344344706381,0.04706632311049238,0.919122031423677,0.00503018070825686,0.0,0.7139575896725687,0.0015499163683226156,0.012491183738609697,0.9753015312022362,0.0014814678759730833,0.0,0.8869366042723639,0.00041145262048385405,0.003333054822516238,0.9936617235128637,0.0004070570635202335,0.0,0.9610666597808712,0.00010780368021751576,0.000874360057894212,0.9984380535657431,0.00010759118708407331,0.0,0.9890863718533257,2.7653500862937335e-05,0.00022359997267975233,0.9995972634721035,2.7638168598145138e-05,0.0,0.9970034747269443,1.7673937638284183e-06,1.4384800226420416e-05,0.9999707987980467,1.7673440642713612e-06,0.0,0.9997610392692928,0.16093256061013123,0.15362723047399768,0.6641567473337824,0.9630811183773463,5.294849968657597,0.9630811183773463,0.0,0.023245578384342193,1.0000082907396584,1.0532037596448893,0.06698677405565232,0.04806708108881303,1.0614905030283595,0.7615087527414648,19.940947401434883,0.7615087527414648,0.0,0.0,2.000008290980243,1.5803640031650712,0.02275439245535018,0.013959906886437234,0.6613689129676378,0.642526051101149,35.38971489160056,0.642526051101149,0.0,0.0,3.0000082907396584,1.8962642201424655,0.006850334568869673,0.004208856541716352,0.37682125439875125,0.5984184697218495,64.14237539860179,0.5984184697218495,0.0,0.0,4.0,2.020743512455739,1.5,3.5,1.0,0.0,1.0
