model,ctx,band_or,band_pr,dead2,tau,lad,phi,gain_or,gain_pr,routed_or,routed_pr,lin,band,has_pr,gain,routed
llama31-8b,8192,39.6484375,67.3828125,19.04296875,2.1000681545695294,3.0370100438961583,1.5933750995159721,1.637508304653962,3.0225080803989917,1.7803622451689727,2.8214470042373545,1.1288951453187264,67.3828125,1.0,3.0225080803989917,2.8214470042373545
llama31-8b,16384,33.0078125,58.0078125,23.2421875,2.2377334287646837,3.244592961039271,1.309354415205685,1.4130409062994005,2.5105853709608317,1.6515020539816987,2.485177548669304,1.0664111331967483,58.0078125,1.0,2.5105853709608317,2.485177548669304
llama31-8b,32768,26.171875,45.41015625,26.220703125,2.4124576174695616,3.4847251573059204,0.7938922434958515,1.1952538807483644,1.7835086405232277,1.4960648350217969,2.082317822765525,0.9752913081023952,45.41015625,1.0,1.7835086405232277,2.082317822765525
llama31-8b,65536,17.1875,33.59375,30.322265625,2.6834785833686716,3.8653403705929263,0.48452242815878627,1.0634951153086476,1.3466550562229724,1.3327050472545272,1.7448731638466806,0.8996451784870052,33.59375,1.0,1.3466550562229724,1.7448731638466806
llama31-8b,131072,12.5,28.80859375,54.052734375,2.9441363617714784,4.240043747369748,0.8360101940599884,1.0267600793209501,1.2047888596711644,1.2476686924385267,1.597566876484816,0.8722992670332657,28.80859375,1.0,1.2047888596711644,1.597566876484816
llama33-70b,8192,78.61328125,92.6171875,5.908203125,1.5256784214717787,2.2354025651127873,0.32379655306593896,3.177038220429395,4.715116601500946,3.03808844253091,4.40183075063688,1.3436299149016897,92.6171875,1.0,4.715116601500946,4.40183075063688
llama33-70b,16384,72.5,85.99609375,8.18359375,1.6680294651492804,2.4371653590651507,0.2452918205987582,2.8744792162486967,3.9136225185245523,2.7307803552926933,3.6489855343281645,1.1698479724650153,85.99609375,1.0,3.9136225185245523,3.6489855343281645
llama33-70b,32768,58.18359374999999,75.4296875,9.23828125,1.9199520922652455,2.80410198623815,0.16242306806937054,2.3147750412713046,3.3225313467823483,2.2818336765197316,3.110383099959165,0.9589380752759307,75.4296875,1.0,3.3225313467823483,3.110383099959165
llama33-70b,65536,47.5390625,61.9140625,11.669921875,2.0416573697688207,2.978143707798205,0.1463218689130112,1.910518518814173,2.5549817674233317,1.9864239698886428,2.495530186101463,0.8597139178600233,61.9140625,1.0,2.5549817674233317,2.495530186101463
llama33-70b,131072,18.14453125,24.9609375,41.5234375,3.3188186738701035,4.806885038693032,3.9351208096036148,1.034388745123147,1.090230463479481,1.3368814648238427,1.4944873605423123,0.7938054157985728,24.9609375,1.0,1.090230463479481,1.4944873605423123
mistral-7b,8192,50.87890625,76.26953125,9.27734375,1.9842083836109272,2.88920795657108,5.541774324171509,2.052103084706153,3.5985855616945934,2.069501700860554,3.2809880278440486,1.2497061704104129,76.26953125,1.0,3.5985855616945934,3.2809880278440486
mistral-7b,16384,44.3359375,66.2109375,12.939453125,2.1333441030758666,3.105091600824213,4.39180517918092,1.751070018751371,3.0887830164052357,1.8957631164418822,2.8066527367121146,1.1903029653868082,66.2109375,1.0,3.0887830164052357,2.8066527367121146
mistral-7b,32768,41.30859375,65.91796875,20.1171875,2.221252561345506,3.2320224048748214,4.720299912738883,1.6609452215192426,2.9836655964070795,1.8180723634470028,2.776702022070488,1.1407874473812347,65.91796875,1.0,2.9836655964070795,2.776702022070488
qwen15-moe-a2.7b,8192,28.90625,54.947916666666664,24.21875,2.4120123395922954,3.500275453577592,1.9727743937244377,1.255305254335507,2.331856692898468,1.5918439516716814,2.440631371224335,1.090167085329795,54.947916666666664,1.0,2.331856692898468,2.440631371224335
qwen15-moe-a2.7b,16384,23.4375,45.3125,32.68229166666667,2.6645839059518366,3.8679141519248885,2.4191182930558264,1.1226088480371195,1.7922488044065892,1.4689275392073085,2.1550659121653886,1.0100884059714978,45.3125,1.0,1.7922488044065892,2.1550659121653886
qwen15-moe-a2.7b,32768,20.833333333333336,36.97916666666667,36.19791666666667,3.06526789453981,4.4214874658184495,2.0467842437700807,1.0318060689650248,1.3104870773434782,1.3941764238349288,1.9013364206249865,0.955109783017435,36.97916666666667,1.0,1.3104870773434782,1.9013364206249865
qwen3-30b-a3b-2507,8192,10.15625,33.91927083333333,60.709635416666664,2.1897893856143265,3.1794283198566093,0.9824123204167337,1.0628891953889732,1.4899165599639184,1.246392936661122,1.72593766514,1.0995417359012947,33.91927083333333,1.0,1.4899165599639184,1.72593766514
qwen3-30b-a3b-2507,16384,8.0078125,30.2734375,63.28125,2.2994083686753806,3.337593948983929,0.9276841844501678,1.0428667689988518,1.3993847625665827,1.2070802798354303,1.6537770351982857,1.0659116182178963,30.2734375,1.0,1.3993847625665827,1.6537770351982857
qwen3-30b-a3b-2507,32768,6.25,23.6328125,65.95052083333334,2.3802356771225064,3.4401999294777617,0.8566943386726329,1.0325322570219337,1.2540840350243747,1.1724908460962535,1.5253243675519,1.0586966779589067,23.6328125,1.0,1.2540840350243747,1.5253243675519
qwen3-30b-a3b-2507,65536,6.119791666666666,24.348958333333336,69.140625,2.521989115101779,3.6543006844245216,0.8155779973924387,1.0207051512377041,1.2158787652594691,1.1648969611504754,1.5102002795907643,1.0323670866868304,24.348958333333336,1.0,1.2158787652594691,1.5102002795907643
qwen3-30b-a3b-2507,131072,4.296875,18.5546875,73.37239583333334,2.860961842069462,4.139965641376326,0.49936946322986064,1.0036113134858726,1.0683592791246626,1.1115137328426734,1.376110218062359,0.9875999472800114,18.5546875,1.0,1.0683592791246626,1.376110218062359
qwen3-8b,8192,9.114583333333332,40.36458333333333,47.87326388888889,2.569397592371397,3.735314978699676,1.413849624842557,1.0480064308503452,1.5687950566257003,1.2154383506623603,1.8684131476664545,1.0852971510102134,40.36458333333333,1.0,1.5687950566257003,1.8684131476664545
qwen3-8b,16384,6.423611111111111,28.73263888888889,52.30034722222222,2.7399749189726235,3.9773497472565706,1.0228466068497106,1.0202475298972216,1.2314842647511404,1.1616241308770174,1.5981207245409172,1.0340338101179434,28.73263888888889,1.0,1.2314842647511404,1.5981207245409172
qwen3-8b,32768,6.25,26.5625,57.46527777777778,3.0504408276343113,4.431200698038437,0.8466122889738276,1.0086573160179424,1.1486457717771734,1.1334715354512264,1.5414547336029893,0.9893942647747764,26.5625,1.0,1.1486457717771734,1.5414547336029893
