model,ctx,dead2,dead2_lo,dead2_hi,band,band_lo,band_hi,portfolio_gain
llama31-8b,8192,18.84765625,14.59716796875,22.890625,54.4921875,49.2138671875,59.8681640625,2.0448763179
llama31-8b,16384,23.73046875,19.52880859375,27.69287109375,46.58203125,41.494140625,51.8603515625,1.8810448330
llama31-8b,32768,27.001953125,22.802734375,31.25732421875,33.984375,29.6875,38.2861328125,1.6805385795
llama31-8b,65536,29.833984375,25.52734375,33.203125,26.07421875,22.3583984375,30.37109375,1.5176884032
llama31-8b,98304,40.625,35.44189453125,44.72900390625,23.4375,19.5263671875,28.0517578125,1.4530062529
llama31-8b,131072,53.662109375,47.6025390625,59.1796875,20.21484375,15.8056640625,25.68359375,1.4055173344
llama33-70b,8192,5.546875,3.005859375,8.0810546875,87.3828125,84.0595703125,90.1171875,3.1652269522
llama33-70b,32768,9.62890625,7.0458984375,13.18994140625,70.0,66.7177734375,73.7353515625,2.5567885161
llama33-70b,98304,28.828125,24.2734375,33.76171875,39.3359375,35.4716796875,42.40625,1.8042814669
llama33-70b,131072,41.38671875,34.333984375,47.5556640625,21.328125,17.693359375,25.396484375,1.4017395058
mistral-7b,8192,10.400390625,8.30078125,12.60986328125,66.2109375,61.2255859375,70.5126953125,2.3055376823
mistral-7b,32768,20.263671875,16.50146484375,24.033203125,55.46875,51.162109375,60.56640625,2.0543030332
qwen15-moe-a2.7b,8192,25.78125,21.2239583333,29.6940104167,41.40625,36.4583333333,47.1354166667,1.7886501387
qwen15-moe-a2.7b,32768,36.8489583333,31.3736979167,44.140625,30.2083333333,25.2473958333,34.6354166667,1.5712762298
qwen3-30b-a3b-2507,4096,58.88671875,49.51171875,67.6546223958,14.84375,10.927734375,18.9453125,1.4096460167
qwen3-30b-a3b-2507,8192,62.0442708333,55.0830078125,70.9244791667,14.1276041667,10.7389322917,17.7864583333,1.3772541276
qwen3-30b-a3b-2507,32768,67.7408854167,59.7591145833,75.087890625,8.0729166667,6.1848958333,10.1595052083,1.2772240120
qwen3-30b-a3b-2507,131072,73.4700520833,66.0693359375,79.82421875,7.4869791667,5.0065104167,10.29296875,1.2122521083
qwen3-30b-a3b-2507,196608,76.6276041667,70.1725260417,82.294921875,6.0546875,4.296875,8.076171875,1.1858896281
qwen3-30b-a3b-2507,262144,77.2135416667,71.2223307292,83.6588541667,5.9895833333,4.1015625,7.6888020833,1.1885093131
qwen3-8b,8192,50.4774305556,41.5342881944,58.4440104167,16.4930555556,13.1944444444,19.5355902778,1.4212758077
qwen3-8b,16384,54.3402777778,46.2934027778,62.6345486111,12.1527777778,9.8090277778,14.5920138889,1.3167606301
qwen3-8b,24576,57.4652777778,48.8194444444,66.0980902778,10.8506944444,7.8993055556,13.3810763889,1.2978556955
qwen3-8b,32768,59.8090277778,51.9466145833,68.0164930556,11.4583333333,9.0234375,13.8020833333,1.2834638546
qwen3-8b,40960,62.4131944444,54.7222222222,70.0542534722,12.2395833333,9.8914930556,14.5920138889,1.2810050720
