model,ctx,task,B,arm,score,head_err_mean
llama31-8b,8192,niah_multikey,2,adakv,0.25,0.3863610671088161
llama31-8b,8192,niah_multikey,2,dropkv,0.3,0.3898890603116029
llama31-8b,8192,niah_multikey,2,evict,0.2,0.3838638588953246
llama31-8b,8192,niah_multikey,2,interior_cascade,0.35,0.2041540826759573
llama31-8b,8192,niah_multikey,2,laprox,0.25,0.39627174834100837
llama31-8b,8192,niah_multikey,2,obck_ada,0.4,0.3760133829831433
llama31-8b,8192,niah_multikey,2,router_calib,0.3,0.19642308401365374
llama31-8b,8192,niah_multikey,2,uniform,1.0,0.5997091857704437
llama31-8b,8192,niah_multikey,3,adakv,0.55,0.2642973633407516
llama31-8b,8192,niah_multikey,3,dropkv,0.55,0.26927899855097265
llama31-8b,8192,niah_multikey,3,evict,0.35,0.2658391153290525
llama31-8b,8192,niah_multikey,3,interior_cascade,0.6,0.11662254804397512
llama31-8b,8192,niah_multikey,3,laprox,0.55,0.27311930017277347
llama31-8b,8192,niah_multikey,3,obck_ada,0.75,0.25638111909257516
llama31-8b,8192,niah_multikey,3,router_calib,1.0,0.10220680538402205
llama31-8b,8192,niah_multikey,3,uniform,1.0,0.17413588618518222
llama31-8b,8192,niah_multivalue,2,adakv,0.1875,0.4055612699633402
llama31-8b,8192,niah_multivalue,2,dropkv,0.1625,0.40515549382976596
llama31-8b,8192,niah_multivalue,2,evict,0.1375,0.4044628349542759
llama31-8b,8192,niah_multivalue,2,interior_cascade,0.15,0.2126196529806164
llama31-8b,8192,niah_multivalue,2,laprox,0.25,0.4118732362981318
llama31-8b,8192,niah_multivalue,2,obck_ada,0.3875,0.3928368419209246
llama31-8b,8192,niah_multivalue,2,router_calib,0.225,0.2032765590868483
llama31-8b,8192,niah_multivalue,2,uniform,1.0,0.5804139159691075
llama31-8b,8192,niah_multivalue,3,adakv,0.425,0.2835237876647948
llama31-8b,8192,niah_multivalue,3,dropkv,0.425,0.2910301896983471
llama31-8b,8192,niah_multivalue,3,evict,0.3375,0.2866380754430137
llama31-8b,8192,niah_multivalue,3,interior_cascade,0.4,0.12203612798489286
llama31-8b,8192,niah_multivalue,3,laprox,0.4625,0.29045567070447553
llama31-8b,8192,niah_multivalue,3,obck_ada,0.5875,0.27660045479137685
llama31-8b,8192,niah_multivalue,3,router_calib,0.9875,0.10407180748193468
llama31-8b,8192,niah_multivalue,3,uniform,1.0,0.165021385622389
llama31-8b,8192,niah_single,2,adakv,0.5,0.3605094771843522
llama31-8b,8192,niah_single,2,dropkv,0.55,0.37657764364107627
llama31-8b,8192,niah_single,2,evict,0.45,0.36064002928771316
llama31-8b,8192,niah_single,2,interior_cascade,0.3,0.17653618293567705
llama31-8b,8192,niah_single,2,laprox,0.6,0.3743785752395751
